,Time,AX,AY,AZ,GX,GY,GZ
0,34297,4,985,7,-127,-343,-325
1,34303,3,987,12,-109,-340,-327
2,34309,5,986,9,-113,-343,-321
3,34315,1,987,5,-118,-340,-315
4,34322,4,990,5,-127,-337,-315
5,34328,4,988,0,-122,-348,-315
6,34334,8,987,9,-107,-346,-316
7,34340,8,991,0,-124,-345,-318
8,34347,3,990,1,-125,-345,-322
9,34353,8,993,1,-119,-340,-322
10,34359,-9,1010,3,-124,-351,-316
11,34365,-41,973,13,-118,-351,-310
12,34372,13,972,9,-121,-342,-324
13,34378,15,1004,16,-110,-342,-313
14,34384,0,1012,12,-119,-343,-324
15,34390,17,998,6,-116,-342,-324
16,34397,0,997,-14,-119,-342,-319
17,34403,14,990,-7,-110,-342,-321
18,34409,14,996,-21,-116,-342,-322
19,34415,24,975,-29,-116,-346,-316
20,34422,27,971,-12,-116,-345,-312
21,34428,28,977,-14,-109,-340,-318
22,34434,8,963,14,-115,-351,-312
23,34440,8,975,43,-118,-349,-306
24,34447,14,976,22,-113,-349,-310
25,34453,18,965,9,-113,-363,-315
26,34459,13,987,23,-113,-351,-321
27,34465,19,1006,69,-110,-351,-312
28,34472,29,1014,95,-109,-357,-315
29,34478,46,1012,133,-112,-355,-319
30,34484,60,1000,147,-116,-361,-318
31,34490,51,1002,128,-112,-355,-318
32,34497,43,1000,100,-107,-355,-322
33,34503,25,999,55,-106,-366,-330
34,34509,6,975,-2,-110,-364,-345
35,34515,-13,973,-55,-110,-357,-349
36,34522,-16,955,-111,-101,-360,-352
37,34528,-13,949,-164,-98,-369,-357
38,34534,-32,962,-202,-110,-363,-349
39,34540,-35,956,-248,-106,-360,-348
40,34547,-25,1013,-330,-116,-358,-360
41,34553,1,1026,-381,-113,-351,-342
42,34559,-36,1065,-335,-109,-357,-325
43,34565,42,871,285,-116,-351,-319
44,34572,64,1040,78,-118,-342,-309
45,34578,115,1038,302,-122,-343,-286
46,34584,118,1048,367,-116,-334,-273
47,34590,82,1019,350,-131,-349,-274
48,34597,60,1013,266,-130,-342,-273
49,34603,33,999,186,-131,-351,-276
50,34609,4,1003,104,-118,-357,-273
51,34615,-14,982,12,-118,-358,-279
52,34622,-28,962,-52,-116,-349,-292
53,34628,-21,963,-99,-124,-361,-304
54,34634,-22,963,-116,-122,-352,-309
55,34640,-8,986,-129,-121,-352,-301
56,34647,-4,981,-153,-113,-364,-300
57,34653,2,970,-164,-115,-355,-304
58,34659,1,993,-151,-113,-361,-303
59,34665,14,967,-134,-107,-358,-309
60,34672,4,973,-112,-119,-361,-310
61,34678,-7,971,-68,-113,-355,-292
62,34684,-18,955,-25,-128,-352,-297
63,34690,-22,974,24,-125,-343,-295
64,34697,-35,979,32,-119,-354,-292
65,34703,-60,971,48,-131,-352,-280
66,34709,766,1161,-278,-124,-339,-292
67,34715,-51,975,-7,-124,-336,-294
