Putt,Distance,Result
1,2,0
2,2,1
3,2,1
4,2,0
5,2,1
6,2,1
7,2,0
8,2,0
9,2,1
10,2,1
11,2,0
12,2,1
13,2,1
14,2,1
15,2,0
16,2,0
17,2,1
18,2,1
19,2,1
20,2,0
21,2,0
22,2,1
23,2,1
24,2,1
25,2,0
26,2,0
27,2,1
28,2,1
29,2,0
30,2,0
31,2,1
32,2,1
33,2,1
34,2,1
35,2,0
36,2,0
37,2,1
38,2,0
39,2,0
40,2,0
41,2,1
42,2,1
43,2,1
44,2,0
45,2,1
46,2,0
47,2,1
48,2,0
49,2,0
50,2,0
51,3,0
52,3,1
53,3,1
54,3,1
55,3,1
56,3,1
57,3,0
58,3,0
59,3,1
60,3,0
61,3,1
62,3,0
63,3,0
64,3,0
65,3,1
66,3,1
67,3,0
68,3,1
69,3,0
70,3,0
71,3,1
72,3,0
73,3,1
74,3,1
75,3,1
76,3,1
77,3,1
78,3,1
79,3,1
80,3,1
81,3,0
82,3,1
83,3,0
84,3,1
85,3,1
86,3,1
87,3,0
88,3,0
89,3,0
90,3,1
91,3,0
92,3,0
93,3,0
94,3,0
95,3,0
96,3,0
97,3,1
98,3,0
99,3,0
100,3,0
101,4,0
102,4,1
103,4,1
104,4,1
105,4,1
106,4,1
107,4,1
108,4,0
109,4,1
110,4,1
111,4,1
112,4,0
113,4,0
114,4,1
115,4,1
116,4,1
117,4,1
118,4,1
119,4,1
120,4,1
121,4,1
122,4,1
123,4,0
124,4,0
125,4,1
126,4,0
127,4,0
128,4,0
129,4,0
130,4,1
131,4,0
132,4,0
133,4,0
134,4,0
135,4,0
136,4,0
137,4,1
138,4,0
139,4,1
140,4,0
141,4,1
142,4,0
143,4,0
144,4,1
145,4,1
146,4,0
147,4,0
148,4,0
149,4,0
150,4,0
151,5,0
152,5,0
153,5,0
154,5,1
155,5,0
156,5,0
157,5,1
158,5,1
159,5,1
160,5,1
161,5,1
162,5,1
163,5,1
164,5,0
165,5,1
166,5,1
167,5,1
168,5,1
169,5,1
170,5,1
171,5,1
172,5,1
173,5,0
174,5,1
175,5,1
176,5,1
177,5,0
178,5,0
179,5,1
180,5,1
181,5,0
182,5,0
183,5,0
184,5,0
185,5,0
186,5,0
187,5,1
188,5,1
189,5,1
190,5,0
191,5,0
192,5,0
193,5,1
194,5,0
195,5,0
196,5,0
197,5,0
198,5,0
199,5,1
200,5,0
201,6,0
202,6,1
203,6,1
204,6,1
205,6,0
206,6,0
207,6,1
208,6,0
209,6,1
210,6,1
211,6,1
212,6,0
213,6,0
214,6,0
215,6,0
216,6,0
217,6,0
218,6,0
219,6,1
220,6,0
221,6,1
222,6,1
223,6,0
224,6,1
225,6,0
226,6,1
227,6,1
228,6,1
229,6,1
230,6,1
231,6,1
232,6,0
233,6,0
234,6,1
235,6,1
236,6,1
237,6,0
238,6,1
239,6,1
240,6,1
241,6,1
242,6,1
243,6,1
244,6,0
245,6,0
246,6,0
247,6,0
248,6,0
249,6,0
250,6,1
