iter	Logloss	Accuracy
0	0.6768566514	0.8170731707
1	0.6632089626	0.9268292683
2	0.6529056636	0.963414634133	0.6384027274	0.963414634144	0.6271682052	0.9634146345	5	0.6127631537	0.975609756	06	0.5992058301	0.9756097	0.57	0.5896254867	0.963418	0.588	0.5767844372	0.96349	0.5779	0.5665472004	0.98710	0.5610	0.5589186453	0.9811	0.55111	0.5502135895	0.9712	0.539112	0.5424279638	013	0.559332713	0.5317957974	14	0.554698714	0.5236973899	15	0.5445972615	0.514248459816	0.53463163916	017	0.5257562517	1
18	0.5224689763	1
19	0.5107168877	1
20	0.5039307112	1
21	0.4958705638	1
22	0.4890761068	1
23	0.4821066953	1
24	0.4765158677	1
25	0.47142611	1
26	0.4656825069	0.987654321
27	0.459639031	0.987628	0.428	0.453152329	0.4078913369	2930	0.4010230911	1
31	0.3940943037	1
32	0.3889131043	1
33	0.3817157165	1
34	0.3782385463	1
35	0.3727926608	1
36	0.3671861811	1
37	0.3605168431	1
38	0.3555734413	1
39	0.3508419276	1
40	0.3444857062	1
41	0.3386597079	1
42	0.3348464564	1
43	0.3299970169	1
44	0.3254504881	1
45	0.3209606467	1
46	0.3169253542	1
47	0.3113830802	1
48	0.3065975335	1
49	0.3025421734	1
50	0.298042774	1
51	0.2937004807	1
52	0.2908695835	1
53	0.2874194376	1
54	0.2844609798	1
55	0.279966916	1
56	0.273049899	1
57	0.2680265339	1
58	0.2639309554	1
59	0.2625268794	1
60	0.2585708431	1
61	0.2573126281	1
62	0.2530609331	1
63	0.2483737679	1
64	0.2449936256	1
65	0.2427286916	1
66	0.2391510304	1
67	0.2352691412	1
68	0.2333817465	1
69	0.2296402873	1
70	0.2260671909	1
71	0.2238201051	1
72	0.2193247752	1
73	0.2161039821	1
74	0.2143054725	1
75	0.2128787916	1
76	0.2104060138	1
77	0.2082699874	1
78	0.2058631873	1
79	0.2029074872	1
80	0.2006096292	1
81	0.1976635107	1
82	0.1953978851	1
83	0.1928046743	1
84	0.1903873627	1
85	0.1889242566	1
86	0.1867438871	1
87	0.1845623563	1
88	0.1810140607	1
89	0.1795059493	1
90	0.1773677836	1
91	0.1759633826	1
92	0.1734896496	1
93	0.1722760337	1
94	0.1711612223	1
95	0.1688354202	1
96	0.1672172398	1
97	0.1659140676	1
98	0.1634018777	1
99	0.1614141183	1
100	0.1588807503	1
101	0.1572749798	1
102	0.1557034629	1
103	0.1538670127	1
104	0.1519845305	1
105	0.149917043	1
106	0.1483023422	1
107	0.1471142522	1
108	0.1457185243	1
109	0.1441772423	1
110	0.1427739249	1
111	0.1416919617	1
112	0.1403994716	1
113	0.1390915289	1
114	0.1375732149	1
115	0.1361292516	1
116	0.1350413774	1
117	0.1337123285	1
118	0.132604664	1
119	0.1317738567	1
120	0.1309975151	1
121	0.1302147509	1
122	0.1289137999	1
123	0.1281879858	1
124	0.1261070736	1
125	0.1245244227	1
126	0.1236227318	1
127	0.1222634683	1
128	0.1205081043	1
129	0.1195064929	1
130	0.1181197618	1
131	0.1168498972	1
132	0.1151378531	1
133	0.1135737684	1
134	0.111122667	1
135	0.11028815	1
136	0.1087548944	1
137	0.1071016499	1
138	0.1055361712	1
139	0.1045903443	1
140	0.1028671205	1
141	0.1017798375	1
142	0.1007871164	1
143	0.09989730926	1
144	0.09876112251	1
145	0.09786698907	1
146	0.09665709262	1
147	0.09558819211	1
148	0.09422271095	1
149	0.09354052824	1
150	0.09270509411	1
151	0.0916795718	1
152	0.09044120419	1
153	0.08865656082	1
154	0.08790188045	1
155	0.08716511257	1
156	0.08651454377	1
157	0.08567277825	1
158	0.08500783109	1
159	0.08448303519	1
160	0.08358143379	1
161	0.08263270598	1
162	0.08197729523	1
163	0.08118578075	1
164	0.08048539493	1
165	0.0790624851	1
166	0.07836427619	1
167	0.0776176643	1
168	0.07709537293	1
169	0.07597873633	1
170	0.07523581153	1
171	0.07466166066	1
172	0.07381465002	1
173	0.07333619232	1
174	0.07257236002	1
175	0.0718508144	1
176	0.070886324	1
177	0.06992751582	1
178	0.06929328588	1
179	0.06878914395	1
180	0.06829196703	1
181	0.06761670932	1
182	0.06689787125	1
183	0.06581898922	1
184	0.06509271826	1
185	0.06457465823	1
