iter	Passed	Remaining
0	105	105335
1	184	92023
2	300	99717
3	417	103844
4	539	107292
5	658	109021
6	780	110659
7	898	111400
8	1022	112642
9	1148	113707
10	1265	113764
11	1390	114459
12	1510	114718
13	1637	115359
14	1766	115967
15	1905	117196
16	2005	115983
17	2087	113864
18	2168	111950
19	2251	110323
20	2332	108717
21	2414	107341
22	2500	106212
23	2579	104880
24	2657	103655
25	2737	102550
26	2818	101578
27	2904	100832
28	2986	99997
29	3069	99237
30	3150	98480
31	3231	97754
32	3315	97142
33	3401	96630
34	3503	96598
35	3582	95935
36	3660	95271
37	3741	94729
38	3826	94294
39	3909	93826
40	3990	93334
41	4070	92848
42	4149	92342
43	4228	91876
44	4307	91421
45	4388	91009
46	4509	91430
47	4634	91919
48	4758	92354
49	4883	92785
50	5007	93170
51	5131	93550
52	5253	93873
53	5442	95345
54	5590	96048
55	5731	96616
56	5853	96845
57	5989	97285
58	6126	97719
59	6207	97245
60	6289	96821
61	6369	96357
62	6449	95921
63	6531	95521
64	6609	95072
65	6689	94667
66	6768	94259
67	6848	93862
68	6927	93467
69	7008	93110
70	7092	92807
71	7175	92478
72	7256	92146
73	7335	91791
74	7425	91576
75	7506	91269
76	7585	90921
77	7663	90588
78	7739	90230
79	7817	89906
80	7896	89590
81	7974	89277
82	8059	89042
83	8138	88752
84	8217	88463
85	8304	88256
86	8427	88437
87	8545	88566
88	8663	88678
89	8779	88771
90	8902	88922
91	9023	89053
92	9143	89175
93	9273	89377
94	9401	89561
95	9598	90388
96	9681	90128
97	9761	89849
98	9839	89552
99	9919	89274
100	9998	89000
101	10079	88740
102	10158	88469
103	10238	88208
104	10316	87933
105	10396	87684
106	10474	87414
107	10558	87203
108	10641	86990
109	10723	86760
110	10804	86533
111	10886	86311
112	10966	86085
113	11045	85841
114	11130	85656
115	11211	85436
116	11290	85211
117	11368	84977
118	11449	84762
119	11531	84561
120	11611	84349
121	11691	84141
122	11771	83930
123	11849	83713
124	11927	83493
125	12006	83280
126	12097	83155
127	12177	82957
128	12264	82811
129	12344	82614
130	12423	82409
131	12502	82214
132	12592	82089
133	12697	82062
134	12820	82147
135	12939	82205
136	13060	82274
137	13184	82356
138	13301	82390
139	13420	82437
140	13540	82489
141	13660	82538
142	13776	82562
143	13897	82612
144	14018	82662
145	14146	82746
146	14274	82828
147	14417	82998
148	14494	82786
149	14577	82607
150	14657	82412
151	14739	82233
152	14821	82051
153	14900	81855
154	14978	81655
155	15063	81496
156	15143	81314
157	15227	81148
158	15309	80977
159	15393	80814
160	15473	80636
161	15553	80456
162	15636	80292
163	15715	80113
164	15794	79931
165	15873	79751
166	15952	79569
167	16030	79388
168	16109	79211
169	16188	79039
170	16269	78873
171	16348	78699
172	16426	78524
173	16502	78341
174	16583	78178
175	16662	78012
176	16740	77836
177	16854	77834
178	16974	77857
179	17104	77918
180	17259	78096
181	17383	78131
182	17507	78163
183	17634	78205
184	17760	78243
185	17889	78290
186	18015	78324
187	18145	78371
188	18296	78509
189	18492	78837
190	18595	78762
191	18678	78604
192	18755	78424
193	18836	78260
194	18915	78086
195	18993	77912
196	19071	77740
197	19150	77567
198	19239	77443
199	19320	77283
200	19404	77135
201	19486	76980
202	19568	76827
203	19651	76678
204	19754	76610
205	19839	76468
206	19919	76309
207	19998	76146
208	20075	75981
209	20155	75823
210	20236	75669
211	20317	75519
212	20395	75358
213	20472	75194
214	20550	75034
215	20630	74880
216	20713	74739
217	20793	74590
218	20875	74445
219	20951	74283
220	21067	74261
221	21191	74265
222	21330	74323
223	21452	74316
224	21574	74312
225	21696	74305
226	21822	74311
227	21945	74307
228	22070	74306
229	22191	74294
230	22316	74290
231	22440	74285
232	22589	74361
233	22702	74316
234	22782	74163
235	22862	74011
236	22941	73858
237	23021	73707
238	23101	73558
239	23180	73405
240	23260	73256
241	23345	73124
242	23425	72976
243	23508	72836
244	23587	72688
245	23665	72536
246	23746	72394
247	23828	72252
248	23907	72107
249	23985	71955
250	24062	71804
251	24141	71657
252	24222	71518
253	24304	71381
254	24399	71283
255	24477	71136
256	24557	70995
257	24634	70849
258	24710	70696
259	24790	70558
260	24875	70431
261	24972	70342
262	25095	70324
263	25218	70306
264	25347	70302
265	25488	70333
266	25611	70311
267	25737	70296
268	25862	70280
269	25988	70264
270	26110	70239
271	26239	70229
272	26403	70313
273	26508	70238
274	26590	70102
275	26670	69961
276	26747	69814
277	26833	69689
278	26953	69652
279	27037	69525
280	27120	69393
281	27199	69251
282	27279	69114
283	27360	68979
284	27458	68887
285	27540	68755
286	27618	68613
287	27699	68478
288	27777	68338
289	27860	68210
290	27939	68072
291	28017	67932
292	28094	67790
293	28171	67648
294	28249	67511
295	28330	67381
296	28432	67300
297	28516	67175
298	28595	67041
299	28677	66913
300	28754	66775
301	28834	66643
302	28919	66524
303	29001	66397
304	29081	66267
305	29171	66160
306	29294	66126
307	29415	66088
308	29553	66088
309	29674	66049
310	29793	66005
311	29910	65956
312	30034	65921
313	30154	65879
314	30279	65846
315	30403	65810
316	30547	65817
317	30668	65772
318	30748	65642
319	30828	65511
320	30915	65393
321	31000	65273
322	31082	65148
323	31160	65013
324	31237	64877
325	31316	64746
326	31395	64615
327	31474	64484
328	31565	64377
329	31646	64252
330	31730	64131
331	31814	64011
332	31891	63877
333	31972	63753
334	32051	63624
335	32134	63504
336	32217	63382
337	32297	63257
338	32378	63134
339	32456	63003
340	32556	62917
341	32633	62786
342	32711	62656
343	32789	62529
344	32870	62405
345	32952	62285
346	33033	62163
347	33111	62036
348	33191	61913
349	33271	61789
350	33350	61664
351	33431	61545
352	33513	61426
353	33623	61358
354	33742	61306
355	33865	61261
356	33986	61213
357	34113	61175
358	34240	61136
359	34363	61090
360	34488	61047
361	34619	61014
362	34754	60987
363	34934	61039
364	35051	60980
365	35130	60855
366	35209	60728
367	35288	60604
368	35367	60479
369	35445	60352
370	35525	60230
371	35650	60184
372	35728	60059
373	35809	59937
374	35890	59818
375	35970	59695
376	36049	59571
377	36141	59471
378	36222	59351
379	36301	59228
380	36379	59104
381	36455	58978
382	36535	58857
383	36614	58735
384	36709	58640
385	36788	58518
386	36866	58395
387	36943	58271
388	37023	58152
389	37103	58034
390	37186	57919
391	37267	57802
392	37348	57685
393	37426	57565
394	37504	57443
395	37582	57323
396	37661	57203
397	37769	57128
398	37850	57012
399	37934	56901
400	38018	56790
401	38111	56693
402	38234	56639
403	38369	56604
404	38493	56552
405	38618	56501
406	38756	56467
407	38880	56414
408	39002	56357
409	39125	56302
410	39253	56253
411	39378	56200
412	39520	56170
413	39666	56146
414	39775	56068
415	39855	55950
416	39933	55830
417	40013	55713
418	40093	55594
419	40174	55479
420	40260	55369
421	40340	55253
422	40418	55133
423	40497	55014
424	40574	54895
425	40651	54774
426	40728	54654
427	40832	54570
428	40914	54457
429	41000	54349
430	41080	54234
431	41157	54114
432	41236	53997
433	41313	53879
434	41390	53760
435	41470	53645
436	41551	53531
437	41633	53420
438	41712	53304
439	41792	53190
440	41894	53104
441	41970	52985
442	42050	52871
443	42132	52760
444	42214	52649
445	42354	52610
446	42477	52550
447	42596	52485
448	42718	52422
449	42839	52359
450	42970	52307
451	43087	52239
452	43206	52172
453	43330	52111
454	43460	52057
455	43577	51987
456	43704	51929
457	43828	51867
458	43974	51830
459	44157	51837
460	44234	51718
461	44314	51604
462	44403	51500
463	44483	51386
464	44566	51275
465	44650	51165
466	44732	51054
467	44811	50939
468	44889	50824
469	44994	50738
470	45072	50622
471	45149	50506
472	45228	50392
473	45306	50277
474	45391	50169
475	45470	50055
476	45550	49943
477	45628	49828
478	45705	49713
479	45786	49601
480	45866	49490
481	45978	49412
482	46058	49301
483	46138	49188
484	46217	49075
485	46296	48963
486	46380	48856
487	46465	48750
488	46581	48676
489	46706	48612
490	46825	48542
491	46947	48474
492	47104	48442
493	47228	48376
494	47349	48306
495	47474	48240
496	47599	48173
497	47726	48109
498	47869	48061
499	48001	48001
500	48098	47906
501	48177	47793
502	48257	47681
503	48336	47569
504	48414	47455
505	48494	47344
506	48581	47239
507	48657	47125
508	48737	47013
509	48817	46903
510	48900	46795
511	48978	46683
512	49058	46571
513	49168	46489
514	49244	46376
515	49321	46262
