iter	Passed	Remaining
0	58	29015
1	59	14902
2	62	10390
3	64	7988
4	66	6543
5	67	5590
6	69	4902
7	71	4380
8	72	3976
9	74	3656
10	76	3398
11	78	3189
12	80	3003
13	81	2839
14	83	2708
15	85	2585
16	87	2479
17	88	2381
18	90	2293
19	92	2218
20	93	2143
21	95	2077
22	97	2016
23	98	1960
24	100	1908
25	102	1860
26	103	1815
27	105	1776
28	107	1743
29	108	1707
30	110	1673
31	112	1640
32	113	1611
33	115	1583
34	117	1556
35	118	1532
36	120	1508
37	122	1485
38	124	1469
39	125	1448
40	127	1427
41	129	1408
42	130	1389
43	132	1370
44	133	1353
45	135	1337
46	137	1321
47	138	1308
48	140	1294
49	142	1279
50	143	1266
51	145	1252
52	147	1240
53	148	1227
54	150	1215
55	151	1204
56	153	1193
57	155	1183
58	156	1172
59	158	1162
60	160	1152
61	163	1154
62	165	1146
63	167	1138
64	169	1132
65	171	1125
66	173	1118
67	174	1111
68	177	1105
69	179	1099
70	180	1093
71	182	1087
72	186	1089
73	189	1092
74	192	1090
75	194	1085
76	197	1084
77	200	1083
78	202	1081
79	205	1077
80	207	1073
81	209	1068
82	212	1065
83	214	1063
84	217	1060
85	219	1054
86	221	1049
87	223	1044
88	225	1041
89	227	1035
90	229	1031
91	231	1027
92	234	1024
93	237	1024
94	239	1022
95	241	1017
96	243	1013
97	246	1011
98	249	1009
99	250	1003
100	252	997
101	254	994
102	256	990
103	258	986
104	260	981
105	263	977
106	265	976
107	268	974
108	271	975
109	274	974
110	276	970
111	279	967
112	281	964
113	283	959
114	285	956
115	288	955
116	290	952
117	292	947
118	294	943
119	297	943
120	300	942
121	303	940
122	305	936
123	307	933
124	310	931
125	312	927
126	314	923
127	316	920
128	319	917
129	320	912
130	322	909
131	324	905
132	327	902
133	329	900
