,Time,AX,AY,AZ,GX,GY,GZ
0,6781,68,983,-20,-89,-363,-319
1,6787,69,985,-22,-86,-370,-316
2,6793,68,987,-21,-94,-364,-321
3,6799,74,986,-20,-83,-372,-312
4,6806,73,985,-23,-83,-367,-319
5,6812,75,987,-19,-86,-375,-313
6,6818,70,982,-21,-94,-366,-315
7,6824,70,985,-21,-94,-373,-316
8,6831,73,985,-17,-86,-361,-315
9,6837,69,987,-20,-91,-366,-327
10,6843,71,989,-20,-85,-378,-321
11,6849,71,993,-17,-85,-373,-309
12,6856,70,983,-19,-95,-366,-322
13,6862,49,966,-23,-89,-364,-322
14,6868,83,992,-1,-94,-366,-319
15,6874,33,988,2,-86,-352,-325
16,6881,47,992,-5,-86,-366,-322
17,6887,35,977,-9,-83,-360,-330
18,6893,42,973,-15,-79,-363,-330
19,6899,76,989,-25,-91,-367,-321
20,6906,72,992,-5,-86,-361,-318
21,6912,67,988,-27,-91,-363,-316
22,6918,71,983,-12,-92,-354,-319
23,6924,83,992,-26,-94,-364,-322
24,6931,68,989,-15,-92,-361,-315
25,6937,67,989,-17,-95,-360,-316
26,6943,71,1004,-25,-89,-354,-315
27,6949,54,975,-23,-94,-369,-313
28,6956,53,960,-35,-91,-372,-321
29,6962,50,950,-28,-89,-364,-322
30,6968,29,986,-10,-89,-367,-324
31,6974,63,983,9,-89,-373,-321
32,6981,44,979,-6,-85,-372,-315
33,6987,54,986,-26,-85,-369,-321
34,6993,49,989,-50,-98,-361,-316
35,6999,53,991,-52,-91,-372,-318
36,7006,60,980,-23,-83,-357,-318
37,7012,58,977,9,-88,-367,-304
38,7018,60,992,43,-88,-361,-306
39,7024,63,998,31,-94,-369,-316
40,7031,79,984,8,-94,-367,-307
41,7037,69,1002,20,-98,-361,-315
42,7043,78,1010,58,-91,-373,-310
43,7049,79,992,99,-94,-372,-321
44,7056,73,994,112,-80,-364,-312
45,7062,69,1005,120,-88,-367,-330
46,7068,55,995,110,-97,-369,-330
47,7074,68,1001,87,-82,-364,-334
48,7081,72,992,50,-82,-367,-339
49,7087,68,992,7,-80,-369,-343
50,7093,63,983,-15,-77,-384,-343
51,7099,51,973,-55,-83,-375,-352
52,7106,35,952,-111,-80,-382,-357
53,7112,12,948,-200,-77,-382,-361
54,7118,13,951,-270,-74,-382,-357
