,Time,AX,AY,AZ,GX,GY,GZ
0,60430,39,987,-1,-115,-358,-309
1,60436,41,987,0,-116,-358,-315
2,60442,47,986,2,-113,-355,-313
3,60448,33,986,1,-110,-361,-306
4,60455,42,986,1,-110,-357,-316
5,60461,30,989,2,-113,-369,-310
6,60467,38,987,-1,-118,-360,-309
7,60473,39,986,0,-110,-363,-316
8,60480,38,989,-2,-115,-355,-316
9,60486,39,988,-3,-113,-364,-312
10,60492,34,996,-1,-106,-361,-310
11,60498,26,1003,-2,-118,-364,-307
12,60505,12,1001,-18,-118,-358,-310
13,60511,20,994,-12,-118,-352,-318
14,60517,30,972,-7,-116,-355,-319
15,60523,37,990,6,-112,-364,-318
16,60530,27,991,13,-122,-360,-310
17,60536,33,985,-37,-116,-361,-309
18,60542,51,987,-33,-112,-351,-306
19,60548,50,978,-18,-115,-361,-309
20,60555,65,980,-8,-113,-361,-301
21,60561,56,976,2,-113,-357,-303
22,60567,31,986,9,-115,-360,-310
23,60573,10,964,26,-118,-357,-313
24,60580,14,973,41,-109,-358,-309
25,60586,39,994,28,-109,-361,-309
26,60592,44,996,-18,-110,-358,-309
27,60598,40,997,-45,-115,-364,-307
28,60605,22,992,-50,-110,-357,-312
29,60611,23,977,-17,-118,-366,-312
30,60617,30,980,16,-115,-358,-307
31,60623,46,1002,98,-116,-358,-307
32,60630,52,1014,188,-119,-357,-316
33,60636,72,1011,218,-109,-363,-315
34,60642,64,1003,231,-110,-361,-318
35,60648,69,1014,180,-106,-357,-322
36,60655,60,1016,130,-112,-360,-334
37,60661,64,1005,94,-110,-367,-337
38,60667,58,1019,66,-104,-364,-354
39,60673,51,1002,18,-100,-373,-349
40,60680,52,996,-18,-95,-370,-358
41,60686,38,972,-63,-92,-378,-367
42,60692,16,957,-140,-85,-387,-370
43,60698,3,949,-214,-94,-379,-373
44,60705,-4,944,-270,-83,-388,-364
45,60711,-39,952,-333,-88,-382,-373
46,60717,-59,964,-385,-80,-387,-360
47,60723,-91,1022,-454,-104,-385,-348
48,60730,-79,1079,-414,-100,-364,-337
49,60736,-20,1155,-298,-112,-360,-322
50,60742,39,1027,-254,-107,-352,-300
51,60748,53,1059,92,-118,-351,-288
52,60755,50,1074,357,-134,-348,-264
53,60761,60,1044,436,-133,-346,-253
54,60767,108,1040,456,-124,-343,-246
55,60773,130,1006,382,-128,-342,-246
56,60780,92,1012,295,-128,-337,-250
57,60786,63,1038,225,-130,-342,-259
58,60792,23,1020,155,-122,-348,-276
59,60798,-19,991,68,-116,-354,-283
60,60805,-33,975,-18,-115,-355,-300
61,60811,-50,937,-128,-124,-355,-318
62,60817,-32,972,-163,-109,-355,-325
63,60823,-35,982,-203,-103,-357,-334
64,60830,-13,993,-188,-101,-358,-330
65,60836,-27,982,-208,-113,-358,-355
66,60842,-24,973,-202,-112,-360,-337
67,60848,-28,959,-206,-109,-364,-348
68,60855,-23,977,-186,-113,-346,-340
69,60861,183,1131,85,-112,-354,-318
70,60867,-66,983,68,-106,-345,-334
71,60873,24,991,9,-112,-343,-324
72,60880,23,989,5,-122,-357,-325
73,60886,14,981,22,-112,-354,-319
74,60892,61,1006,34,-107,-345,-316
75,60898,5,991,3,-118,-352,-316
76,60905,31,984,9,-113,-345,-313
77,60911,28,995,-8,-127,-348,-304
78,60917,14,983,-17,-119,-352,-306
79,60923,0,990,-28,-125,-346,-300
80,60930,3,981,-19,-116,-352,-303
81,60936,0,984,-36,-124,-348,-300
82,60942,14,992,-23,-116,-346,-303
83,60948,29,988,-22,-119,-348,-307
84,60955,28,994,-25,-122,-354,-312
85,60961,33,989,-31,-116,-361,-295
86,60967,52,981,-35,-112,-366,-300
87,60973,70,982,-41,-116,-366,-295
88,60980,83,994,-53,-101,-379,-288
89,60986,101,983,-58,-106,-384,-283
90,60992,128,978,-50,-104,-393,-292
91,60998,126,984,-56,-91,-400,-289
92,61005,143,979,-60,-92,-400,-289
93,61011,137,979,-57,-94,-405,-286
94,61017,140,985,-61,-95,-414,-291
95,61023,158,965,-58,-83,-405,-289
96,61030,159,969,-70,-88,-411,-286
97,61036,158,973,-64,-85,-406,-295
98,61042,159,974,-68,-97,-420,-295
99,61048,145,979,-54,-91,-405,-294
100,61055,142,975,-63,-101,-397,-288
101,61061,135,973,-67,-97,-405,-286
102,61067,133,970,-87,-98,-406,-280
103,61073,128,979,-71,-95,-408,-283
104,61080,130,980,-69,-92,-406,-285
105,61086,136,975,-63,-100,-391,-288
106,61092,132,974,-68,-98,-408,-285
107,61098,128,977,-68,-104,-394,-289
108,61105,128,977,-69,-98,-394,-288
109,61111,131,973,-72,-94,-402,-285
110,61117,135,971,-75,-97,-399,-286
111,61123,138,975,-72,-98,-400,-285
112,61130,138,975,-66,-98,-412,-282
113,61136,141,974,-65,-98,-405,-286
114,61142,140,975,-62,-92,-405,-291
115,61148,142,977,-67,-89,-406,-289
116,61155,149,972,-62,-91,-414,-289
117,61161,151,969,-57,-88,-406,-292
118,61167,149,973,-62,-92,-412,-288
119,61173,150,973,-68,-98,-409,-292
120,61180,134,979,-58,-100,-400,-289
121,61186,140,969,-58,-86,-409,-291
122,61192,133,983,-51,-101,-391,-292
123,61198,131,979,-42,-97,-399,-291
124,61205,141,973,-49,-91,-403,-301
125,61211,131,973,-48,-94,-387,-292
126,61217,114,982,-41,-97,-402,-298
127,61223,106,979,-33,-94,-393,-294
128,61230,101,981,-39,-92,-388,-294
129,61236,114,982,-38,-103,-390,-301
130,61242,115,983,-3,-97,-382,-310
131,61248,73,1006,-23,-101,-387,-321
132,61255,99,984,-1,-97,-387,-318
133,61261,77,978,16,-103,-375,-321
134,61267,66,978,14,-106,-387,-325
135,61273,93,976,24,-97,-382,-322
136,61280,94,974,18,-103,-382,-327
137,61286,96,992,-4,-95,-388,-324
138,61292,91,969,5,-94,-396,-312
139,61298,161,974,-17,-94,-391,-313
140,61305,82,999,-15,-98,-396,-313
141,61311,39,1016,-12,-94,-387,-315
142,61317,14,1028,-57,-95,-388,-318
143,61323,73,951,-47,-103,-390,-312
144,61330,95,979,-41,-97,-385,-306
145,61336,126,973,-33,-103,-382,-318
146,61342,137,969,-24,-97,-378,-315
147,61348,159,951,4,-103,-381,-321
148,61355,143,960,16,-104,-363,-309
149,61361,101,986,-13,-95,-378,-304
150,61367,80,1002,-36,-109,-366,-313
151,61373,42,986,-52,-106,-378,-315
