,Time,AX,AY,AZ,GX,GY,GZ
0,3658,-49,986,-3,-119,-316,-318
1,3664,-45,990,-2,-112,-333,-304
2,3670,-45,989,0,-124,-318,-316
3,3677,-49,988,-2,-122,-316,-310
4,3683,-46,987,-2,-121,-322,-315
5,3689,-44,990,0,-124,-313,-313
6,3695,-45,988,1,-119,-319,-321
7,3702,-48,987,-1,-116,-318,-312
8,3708,-51,987,0,-119,-324,-321
9,3714,-44,990,0,-118,-325,-307
10,3720,-45,985,0,-113,-325,-310
11,3727,-43,988,0,-121,-330,-306
12,3733,-47,989,3,-118,-328,-304
13,3739,-43,988,0,-116,-328,-304
14,3745,-42,988,-1,-106,-330,-306
15,3752,-42,989,0,-116,-325,-301
16,3758,-41,987,1,-116,-322,-306
17,3764,-43,994,0,-118,-325,-303
18,3770,-37,982,-14,-109,-327,-300
19,3777,-33,999,0,-106,-321,-304
20,3783,-51,980,6,-115,-324,-312
21,3789,-40,989,-6,-119,-328,-309
22,3795,-37,989,-7,-124,-328,-313
23,3802,-37,985,-6,-113,-324,-301
24,3808,-37,997,-5,-119,-330,-303
25,3814,-41,985,-6,-118,-330,-304
26,3820,-42,986,-14,-116,-325,-307
27,3827,-16,992,-6,-116,-327,-310
28,3833,-27,962,-9,-112,-325,-307
29,3839,-21,992,-11,-113,-331,-307
30,3845,2,983,-16,-113,-336,-306
31,3852,-22,982,-6,-118,-330,-295
32,3858,-5,982,-5,-121,-331,-297
33,3864,0,990,9,-113,-333,-298
34,3870,-44,1020,24,-115,-331,-298
35,3877,-106,1147,529,-119,-328,-304
36,3883,-5,1135,1012,-119,-331,-294
37,3889,68,1193,1196,-107,-334,-298
38,3895,109,1360,1266,-109,-337,-307
39,3902,69,1606,1134,-103,-358,-337
40,3908,47,1763,1016,-77,-384,-370
41,3914,-138,1922,841,-38,-417,-411
42,3920,-168,1812,708,-1,-454,-445
43,3927,-260,1820,594,50,-499,-478
44,3933,-228,1667,569,125,-532,-505
45,3939,-104,1454,548,174,-565,-514
46,3945,85,1469,582,239,-586,-504
47,3952,197,1120,478,297,-615,-483
48,3958,321,783,298,348,-633,-465
49,3964,305,562,166,404,-645,-438
50,3970,241,388,9,450,-654,-415
51,3977,141,210,-272,492,-660,-370
52,3983,-31,5,-494,521,-663,-342
53,3989,-160,-190,-776,536,-655,-324
54,3995,-217,-277,-979,536,-661,-310
55,4002,-151,-144,-952,513,-664,-322
56,4008,-92,110,-867,492,-663,-336
57,4014,-63,517,-623,449,-669,-367
58,4020,-56,980,-353,378,-655,-391
59,4027,53,1639,3,302,-654,-391
60,4033,196,1997,469,231,-625,-373
61,4039,218,1997,810,135,-592,-388
62,4045,414,1997,1251,73,-555,-366
63,4052,436,1997,1390,17,-511,-369
64,4058,289,1703,1097,-16,-480,-339
65,4064,264,1574,1205,-56,-444,-328
66,4070,291,1332,1081,-67,-421,-313
67,4077,288,1203,983,-80,-411,-318
68,4083,253,1164,907,-85,-390,-309
69,4089,242,1093,730,-82,-393,-304
70,4095,154,1016,461,-83,-387,-303
71,4102,29,1023,265,-74,-384,-313
72,4108,-41,987,180,-85,-385,-328
73,4114,-41,942,177,-95,-376,-325
74,4120,40,992,147,-92,-372,-330
75,4127,80,998,145,-95,-366,-328
76,4133,57,1004,102,-91,-364,-322
77,4139,37,1026,46,-103,-372,-324
78,4145,10,1013,45,-98,-361,-313
79,4152,8,967,26,-98,-360,-312
80,4158,-3,996,36,-101,-358,-310
81,4164,-3,990,21,-101,-349,-310
82,4170,-17,1009,29,-104,-351,-300
83,4177,-28,1016,42,-106,-348,-306
84,4183,-11,1018,49,-112,-349,-304
85,4189,91,1018,94,-103,-343,-306
86,4195,-45,984,-21,-112,-339,-304
87,4202,-26,990,11,-107,-345,-312
88,4208,-1,987,10,-112,-349,-309
89,4214,-6,979,-7,-104,-343,-307
90,4220,0,993,17,-116,-348,-292
91,4227,-3,992,-6,-101,-343,-300
92,4233,-5,986,-8,-112,-342,-298
93,4239,3,990,-16,-101,-348,-295
94,4245,-15,993,6,-106,-346,-289
95,4252,-2,982,-10,-118,-345,-292
96,4258,-7,990,-17,-112,-343,-289
