,Time,AX,AY,AZ,GX,GY,GZ,FileNum,ExpPutts,Mark,Stage,Id
33,21417,56,1023,175,-88,-361,-327,1,30,1.0,Back,1
34,21423,83,1019,149,-92,-363,-319,1,30,,Back,1
35,21429,69,1006,116,-88,-366,-325,1,30,,Back,1
36,21436,75,1008,92,-88,-361,-334,1,30,,Back,1
37,21442,81,996,56,-82,-366,-339,1,30,,Back,1
38,21448,68,1001,30,-76,-378,-345,1,30,,Back,1
39,21454,51,981,0,-74,-372,-352,1,30,,Back,1
40,21461,31,958,-48,-79,-370,-355,1,30,,Back,1
41,21467,21,944,-88,-70,-378,-360,1,30,,Back,1
42,21473,-5,944,-148,-79,-379,-369,1,30,,Back,1
43,21479,0,937,-234,-82,-384,-363,1,30,,Back,1
44,21486,1,943,-298,-82,-367,-360,1,30,,Back,1
45,21492,16,982,-375,-80,-382,-360,1,30,,Back,1
46,21498,26,1042,-429,-88,-372,-357,1,30,,Back,1
47,21504,12,1108,-444,-92,-367,-334,1,30,2.0,Forward,1
48,21511,32,1120,-392,-91,-363,-318,1,30,,Forward,1
49,21517,-83,972,106,-103,-358,-297,1,30,,Forward,1
50,21523,30,1046,75,-97,-346,-285,1,30,,Forward,1
51,21529,29,1044,381,-89,-352,-274,1,30,,Forward,1
52,21536,46,1023,563,-98,-343,-261,1,30,3.0,Forward,1
191,22404,70,1008,130,-92,-367,-313,1,30,1.0,Back,2
192,22411,89,1002,118,-80,-372,-316,1,30,,Back,2
193,22417,96,1016,102,-83,-373,-321,1,30,,Back,2
194,22423,100,1010,73,-79,-375,-327,1,30,,Back,2
195,22429,95,1000,12,-83,-363,-327,1,30,,Back,2
196,22436,71,970,-55,-77,-376,-340,1,30,,Back,2
197,22442,62,952,-105,-73,-378,-349,1,30,,Back,2
198,22448,42,949,-177,-82,-376,-358,1,30,,Back,2
199,22454,25,936,-222,-74,-384,-346,1,30,,Back,2
200,22461,0,960,-277,-77,-381,-357,1,30,,Back,2
201,22467,3,987,-349,-82,-382,-351,1,30,,Back,2
202,22473,9,1000,-393,-71,-375,-346,1,30,,Back,2
203,22479,-16,1041,-488,-85,-378,-346,1,30,,Back,2
204,22486,-74,1030,-514,-85,-367,-316,1,30,2.0,Forward,2
205,22492,50,1130,-376,-95,-357,-307,1,30,,Forward,2
206,22498,99,1093,-168,-98,-352,-304,1,30,,Forward,2
207,22504,81,1100,316,-100,-348,-286,1,30,,Forward,2
208,22511,21,1022,576,-92,-348,-271,1,30,,Forward,2
209,22517,-20,955,599,-103,-345,-267,1,30,3.0,Forward,2
367,23504,88,1008,155,-100,-363,-310,1,30,1.0,Back,3
368,23511,89,1024,121,-98,-358,-309,1,30,,Back,3
369,23517,78,996,56,-92,-363,-316,1,30,,Back,3
370,23523,71,990,-34,-88,-378,-322,1,30,,Back,3
371,23529,67,1005,-62,-86,-376,-324,1,30,,Back,3
372,23536,47,967,-134,-80,-372,-334,1,30,,Back,3
373,23542,53,967,-160,-79,-379,-349,1,30,,Back,3
374,23548,-8,961,-223,-82,-381,-358,1,30,,Back,3
375,23554,-12,925,-306,-82,-387,-352,1,30,,Back,3
376,23561,-5,964,-420,-88,-369,-349,1,30,,Back,3
377,23567,-19,986,-568,-82,-378,-343,1,30,,Back,3
378,23573,-48,1013,-609,-86,-361,-328,1,30,2.0,Forward,3
379,23579,-3,1047,-497,-89,-363,-318,1,30,,Forward,3
380,23586,291,838,72,-107,-346,-303,1,30,,Forward,3
381,23592,84,1150,294,-92,-348,-288,1,30,,Forward,3
382,23598,53,1038,516,-98,-349,-277,1,30,3.0,Forward,3
508,24386,88,1008,147,-95,-358,-312,1,30,1.0,Back,4
509,24392,85,1014,116,-86,-360,-313,1,30,,Back,4
510,24398,96,1009,116,-89,-358,-316,1,30,,Back,4
511,24404,76,1011,45,-95,-364,-328,1,30,,Back,4
512,24411,52,993,-15,-88,-373,-336,1,30,,Back,4
513,24417,38,978,-76,-88,-369,-337,1,30,,Back,4
514,24423,10,958,-120,-79,-369,-351,1,30,,Back,4
515,24429,8,939,-196,-79,-372,-355,1,30,,Back,4
516,24436,-16,922,-291,-82,-376,-354,1,30,,Back,4
517,24442,-7,941,-373,-83,-372,-354,1,30,,Back,4
518,24448,4,988,-481,-79,-370,-343,1,30,,Back,4
519,24454,17,1040,-558,-89,-370,-340,1,30,,Back,4
520,24461,27,1119,-574,-103,-361,-334,1,30,2.0,Forward,4
521,24467,38,1156,-482,-89,-352,-309,1,30,,Forward,4
522,24473,-41,1016,-259,-97,-357,-294,1,30,,Forward,4
523,24479,55,1082,307,-97,-345,-271,1,30,,Forward,4
524,24486,-12,1040,650,-98,-340,-262,1,30,,Forward,4
525,24492,-17,979,667,-103,-342,-259,1,30,3.0,Forward,4
664,25361,78,1008,111,-82,-360,-318,1,30,1.0,Back,5
665,25367,78,1011,92,-83,-355,-321,1,30,,Back,5
666,25373,86,997,78,-82,-370,-325,1,30,,Back,5
667,25379,77,1009,58,-88,-366,-337,1,30,,Back,5
668,25386,73,984,9,-88,-375,-328,1,30,,Back,5
669,25392,42,977,-38,-88,-378,-340,1,30,,Back,5
670,25398,50,975,-80,-83,-373,-346,1,30,,Back,5
671,25404,26,967,-163,-76,-370,-354,1,30,,Back,5
672,25411,-18,950,-285,-76,-373,-355,1,30,,Back,5
673,25417,9,957,-376,-82,-375,-363,1,30,,Back,5
674,25423,-26,956,-408,-79,-373,-351,1,30,,Back,5
675,25429,32,1018,-449,-88,-364,-346,1,30,2.0,Forward,5
676,25436,55,1128,-445,-92,-354,-334,1,30,,Forward,5
677,25442,159,1149,-368,-103,-352,-318,1,30,,Forward,5
678,25448,231,1039,-90,-97,-348,-291,1,30,,Forward,5
679,25454,30,1068,110,-86,-354,-282,1,30,,Forward,5
680,25461,15,1043,384,-106,-349,-273,1,30,,Forward,5
681,25467,4,982,484,-94,-346,-262,1,30,,Forward,5
682,25473,64,986,504,-94,-355,-255,1,30,3.0,Forward,5
815,26304,114,1033,109,-91,-358,-307,1,30,1.0,Back,6
816,26311,126,1012,100,-86,-369,-312,1,30,,Back,6
817,26317,98,1006,67,-91,-358,-315,1,30,,Back,6
818,26323,68,991,13,-85,-369,-312,1,30,,Back,6
819,26329,41,973,-46,-86,-376,-322,1,30,,Back,6
820,26336,12,956,-112,-80,-372,-330,1,30,,Back,6
821,26342,0,955,-172,-83,-376,-330,1,30,,Back,6
822,26348,20,962,-214,-91,-378,-336,1,30,,Back,6
823,26354,9,963,-297,-83,-369,-334,1,30,,Back,6
824,26361,8,953,-369,-82,-370,-334,1,30,,Back,6
825,26367,7,960,-532,-95,-364,-340,1,30,,Back,6
826,26373,44,1079,-727,-85,-360,-327,1,30,2.0,Forward,6
827,26379,6,1093,-610,-97,-354,-313,1,30,,Forward,6
828,26386,254,1124,-80,-94,-343,-294,1,30,,Forward,6
829,26392,115,1062,228,-97,-343,-285,1,30,,Forward,6
830,26398,103,1102,443,-103,-342,-270,1,30,,Forward,6
831,26404,138,1033,477,-100,-340,-253,1,30,3.0,Forward,6
992,27411,76,997,93,-89,-364,-312,1,30,1.0,Back,7
993,27417,69,998,93,-89,-361,-318,1,30,,Back,7
994,27423,72,1005,86,-88,-367,-319,1,30,,Back,7
995,27429,84,997,59,-89,-361,-324,1,30,,Back,7
996,27436,79,1007,18,-92,-357,-324,1,30,,Back,7
997,27442,78,982,-29,-74,-361,-324,1,30,,Back,7
998,27448,74,976,-84,-91,-378,-331,1,30,,Back,7
999,27454,38,956,-125,-85,-372,-342,1,30,,Back,7
1000,27461,31,949,-162,-82,-375,-334,1,30,,Back,7
1001,27467,0,947,-230,-86,-370,-334,1,30,,Back,7
1002,27473,6,968,-246,-89,-375,-336,1,30,,Back,7
1003,27479,17,985,-343,-86,-375,-334,1,30,,Back,7
1004,27486,-2,1029,-385,-92,-367,-325,1,30,2.0,Forward,7
1005,27492,74,1049,-334,-89,-363,-316,1,30,,Forward,7
1006,27498,122,1007,-144,-97,-360,-301,1,30,,Forward,7
1007,27504,129,1050,130,-91,-351,-301,1,30,,Forward,7
1008,27511,102,1020,306,-98,-346,-282,1,30,,Forward,7
1009,27517,60,984,345,-101,-354,-279,1,30,3.0,Forward,7
1117,28192,93,1000,195,-88,-379,-300,1,30,1.0,Back,8
1118,28198,70,1027,165,-82,-370,-312,1,30,,Back,8
1119,28204,78,1018,105,-85,-375,-322,1,30,,Back,8
1120,28211,92,1023,42,-80,-381,-327,1,30,,Back,8
1121,28217,87,1001,-37,-83,-370,-336,1,30,,Back,8
1122,28223,88,978,-144,-76,-373,-340,1,30,,Back,8
1123,28229,63,963,-217,-82,-387,-357,1,30,,Back,8
1124,28236,30,955,-271,-65,-385,-357,1,30,,Back,8
1125,28242,31,938,-269,-85,-379,-355,1,30,,Back,8
1126,28248,23,942,-268,-85,-381,-355,1,30,,Back,8
1127,28254,12,967,-266,-71,-373,-358,1,30,,Back,8
1128,28261,1,1014,-298,-73,-376,-348,1,30,,Back,8
1129,28267,24,1071,-342,-88,-369,-337,1,30,,Back,8
1130,28273,75,1077,-343,-83,-366,-331,1,30,2.0,Forward,8
1131,28279,75,1079,-196,-83,-358,-313,1,30,,Forward,8
1132,28286,122,1128,12,-95,-358,-307,1,30,,Forward,8
1133,28292,118,1028,235,-86,-358,-292,1,30,,Forward,8
1134,28298,72,1031,353,-103,-355,-285,1,30,,Forward,8
1135,28304,96,1006,397,-98,-354,-277,1,30,3.0,Forward,8
1238,28948,103,1017,208,-86,-375,-313,1,30,1.0,Back,9
1239,28954,88,1018,195,-89,-372,-319,1,30,,Back,9
1240,28961,99,997,136,-83,-376,-322,1,30,,Back,9
1241,28967,88,1014,66,-73,-375,-330,1,30,,Back,9
1242,28973,72,966,-61,-85,-375,-342,1,30,,Back,9
1243,28979,52,961,-142,-86,-388,-346,1,30,,Back,9
1244,28986,62,943,-229,-89,-384,-354,1,30,,Back,9
1245,28992,40,963,-266,-71,-388,-358,1,30,,Back,9
1246,28998,67,962,-300,-82,-391,-355,1,30,,Back,9
1247,29004,68,998,-307,-70,-387,-351,1,30,,Back,9
1248,29011,63,999,-291,-79,-384,-349,1,30,,Back,9
1249,29017,1,972,-269,-77,-375,-342,1,30,,Back,9
1250,29023,-22,1021,-273,-85,-372,-334,1,30,,Back,9
1251,29029,-56,1046,-440,-92,-369,-324,1,30,2.0,Forward,9
1252,29036,-95,985,-103,-83,-358,-307,1,30,,Forward,9
1253,29042,1,1131,-86,-100,-358,-292,1,30,,Forward,9
1254,29048,16,1005,457,-101,-349,-294,1,30,,Forward,9
1255,29054,23,1002,646,-82,-351,-286,1,30,3.0,Forward,9
1367,29754,89,1002,187,-85,-375,-325,1,30,1.0,Back,10
1368,29761,100,1014,157,-73,-373,-325,1,30,,Back,10
1369,29767,80,971,36,-77,-381,-334,1,30,,Back,10
1370,29773,93,970,-8,-80,-382,-337,1,30,,Back,10
1371,29779,70,972,-88,-82,-384,-339,1,30,,Back,10
1372,29786,69,952,-144,-71,-381,-339,1,30,,Back,10
1373,29792,27,968,-191,-80,-384,-348,1,30,,Back,10
1374,29798,50,937,-238,-77,-381,-358,1,30,,Back,10
1375,29804,24,971,-351,-73,-378,-351,1,30,,Back,10
1376,29811,19,995,-502,-65,-382,-346,1,30,,Back,10
1377,29817,784,1251,385,-83,-378,-336,1,30,,Back,10
1378,29823,-22,969,-886,-89,-379,-337,1,30,2.0,Forward,10
1379,29829,-92,1136,-635,-82,-373,-319,1,30,,Forward,10
1380,29836,66,1055,-296,-85,-378,-300,1,30,,Forward,10
1381,29842,-82,1022,561,-94,-373,-292,1,30,,Forward,10
1382,29848,0,976,857,-95,-367,-286,1,30,3.0,Forward,10
1556,30936,67,1012,155,-88,-358,-334,1,30,1.0,Back,11
1557,30942,79,996,133,-82,-366,-336,1,30,,Back,11
1558,30948,63,1012,123,-80,-369,-333,1,30,,Back,11
1559,30954,84,1016,78,-82,-373,-340,1,30,,Back,11
1560,30961,78,983,25,-74,-369,-363,1,30,,Back,11
1561,30967,66,973,-46,-74,-378,-354,1,30,,Back,11
1562,30973,42,970,-107,-76,-373,-369,1,30,,Back,11
1563,30979,39,946,-188,-74,-375,-381,1,30,,Back,11
1564,30986,16,936,-289,-71,-370,-387,1,30,,Back,11
1565,30992,-7,962,-380,-73,-375,-384,1,30,,Back,11
1566,30998,-44,976,-485,-64,-376,-369,1,30,,Back,11
1567,31004,-46,1032,-552,-77,-369,-373,1,30,,Back,11
1568,31011,-45,1046,-566,-86,-358,-361,1,30,2.0,Forward,11
1569,31017,11,1154,-359,-86,-348,-345,1,30,,Forward,11
1570,31023,126,1053,263,-104,-342,-297,1,30,,Forward,11
1571,31029,43,1135,388,-104,-343,-297,1,30,,Forward,11
1572,31036,101,1088,552,-103,-333,-280,1,30,,Forward,11
1573,31042,111,1036,563,-106,-331,-265,1,30,3.0,Forward,11
1675,31679,82,1005,159,-97,-373,-306,1,30,1.0,Back,12
1676,31686,78,984,118,-91,-376,-306,1,30,,Back,12
1677,31692,59,996,64,-89,-376,-319,1,30,,Back,12
1678,31698,86,993,13,-89,-373,-325,1,30,,Back,12
1679,31704,70,990,-62,-82,-375,-331,1,30,,Back,12
1680,31711,40,974,-146,-83,-382,-339,1,30,,Back,12
1681,31717,27,943,-264,-79,-375,-340,1,30,,Back,12
1682,31723,13,937,-355,-82,-382,-352,1,30,,Back,12
1683,31729,-6,958,-436,-77,-379,-352,1,30,,Back,12
1684,31736,-3,1002,-470,-79,-376,-346,1,30,,Back,12
1685,31742,15,1022,-497,-80,-367,-333,1,30,2.0,Forward,12
1686,31748,307,1314,-148,-85,-370,-321,1,30,,Forward,12
1687,31754,24,1112,-342,-94,-355,-306,1,30,,Forward,12
1688,31761,126,1018,-115,-91,-364,-289,1,30,,Forward,12
1689,31767,107,1055,88,-92,-363,-279,1,30,,Forward,12
1690,31773,-18,1099,426,-89,-357,-273,1,30,,Forward,12
1691,31779,44,1027,557,-91,-352,-258,1,30,3.0,Forward,12
1820,32586,92,1019,211,-79,-367,-324,1,30,1.0,Back,13
1821,32592,101,1007,199,-82,-372,-333,1,30,,Back,13
1822,32598,115,1022,149,-83,-370,-340,1,30,,Back,13
1823,32604,97,1020,69,-74,-376,-357,1,30,,Back,13
1824,32611,108,1003,-32,-80,-370,-345,1,30,,Back,13
1825,32617,75,946,-164,-67,-382,-358,1,30,,Back,13
1826,32623,55,952,-222,-67,-394,-361,1,30,,Back,13
1827,32629,26,932,-297,-65,-399,-369,1,30,,Back,13
1828,32636,12,935,-334,-62,-402,-369,1,30,,Back,13
1829,32642,-5,913,-359,-62,-384,-372,1,30,,Back,13
1830,32648,-22,954,-395,-70,-382,-363,1,30,,Back,13
1831,32654,-23,1040,-531,-76,-375,-349,1,30,,Back,13
1832,32661,7,1152,-701,-71,-373,-345,1,30,2.0,Forward,13
1833,32667,104,1266,-601,-98,-354,-321,1,30,,Forward,13
1834,32673,110,1121,-171,-103,-351,-283,1,30,,Forward,13
1835,32679,145,1092,585,-98,-349,-267,1,30,,Forward,13
1836,32686,82,1014,830,-103,-357,-261,1,30,3.0,Forward,13
1946,33373,62,1025,221,-95,-361,-309,1,30,1.0,Back,14
1947,33379,54,1018,220,-88,-373,-313,1,30,,Back,14
1948,33386,96,1045,192,-95,-360,-324,1,30,,Back,14
1949,33392,86,1029,131,-91,-366,-331,1,30,,Back,14
1950,33398,98,995,20,-88,-364,-343,1,30,,Back,14
1951,33404,64,981,-61,-79,-369,-346,1,30,,Back,14
1952,33411,50,958,-138,-88,-379,-348,1,30,,Back,14
1953,33417,-3,952,-232,-77,-376,-367,1,30,,Back,14
1954,33423,-34,933,-355,-76,-385,-363,1,30,,Back,14
1955,33429,-58,925,-456,-73,-379,-369,1,30,,Back,14
1956,33436,-54,941,-505,-71,-369,-372,1,30,,Back,14
1957,33442,-28,1007,-618,-79,-369,-354,1,30,,Back,14
1958,33448,100,1192,-659,-97,-349,-355,1,30,2.0,Forward,14
1959,33454,209,1268,-481,-94,-349,-324,1,30,,Forward,14
1960,33461,-22,1038,-27,-97,-345,-294,1,30,,Forward,14
1961,33467,-26,1035,639,-98,-343,-282,1,30,,Forward,14
1962,33473,-33,903,730,-94,-348,-271,1,30,3.0,Forward,14
2140,34586,118,1020,303,-91,-364,-319,1,30,1.0,Back,15
2141,34592,93,1038,254,-86,-361,-324,1,30,,Back,15
2142,34598,105,1029,169,-88,-370,-345,1,30,,Back,15
2143,34604,87,1028,78,-80,-372,-352,1,30,,Back,15
2144,34611,76,1028,-8,-68,-384,-367,1,30,,Back,15
2145,34617,41,1003,-52,-79,-384,-381,1,30,,Back,15
2146,34623,75,965,-116,-64,-387,-376,1,30,,Back,15
2147,34629,24,945,-201,-56,-393,-382,1,30,,Back,15
2148,34636,36,928,-291,-58,-393,-384,1,30,,Back,15
2149,34642,2,940,-317,-58,-405,-388,1,30,,Back,15
2150,34648,6,937,-309,-61,-388,-387,1,30,,Back,15
2151,34654,-11,971,-323,-64,-393,-370,1,30,,Back,15
2152,34661,-47,1008,-287,-74,-378,-375,1,30,,Back,15
2153,34667,-48,1064,-423,-73,-378,-360,1,30,,Back,15
2154,34673,-92,1134,-557,-80,-366,-343,1,30,2.0,Forward,15
2155,34679,0,1179,-444,-88,-361,-321,1,30,,Forward,15
2156,34686,36,1098,78,-95,-349,-306,1,30,,Forward,15
2157,34692,126,1092,638,-103,-337,-276,1,30,,Forward,15
2158,34698,113,1017,783,-106,-339,-273,1,30,3.0,Forward,15
